gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene13331,62.67375496,2.706920981,1.02983369,2.23E-05,0.000217628
gene9583,24.62231175,2.695113122,2.338041073,0.000152785,0.001037774
gene10591,243.5025761,2.681588363,0.759744895,3.46E-06,4.85E-05
gene10914,484.5763096,2.630320413,0.557153331,9.23E-08,2.45E-06
gene7698,74.95055382,2.539052339,0.760246996,5.61E-06,7.10E-05
gene380,193.3945943,2.528710322,0.618377369,8.05E-07,1.46E-05
gene2444,384.7159528,2.462376947,0.977958568,3.17E-05,0.000290673
gene2975,235.5931378,2.439814359,1.576922423,0.000156484,0.001057626
gene12447,125.664595,2.410132838,1.228086851,8.85E-05,0.000665905
gene4209,51.60377609,2.408893156,1.133875671,6.73E-05,0.000537298
gene2744,566.5382103,2.399056875,0.443163448,4.71E-09,2.16E-07
gene12030,29.66683532,2.312856412,1.260911603,0.000118573,0.000856109
gene5160,98.32897226,2.296457157,0.717990086,7.80E-06,9.24E-05
gene1251,31.08326656,2.285788448,0.54366211,5.24E-07,1.03E-05
gene4522,225.8747444,2.246692575,0.51054984,2.69E-07,5.99E-06
gene4361,1038.631787,2.236530665,0.700950777,7.82E-06,9.26E-05
gene9224,25.40766745,2.220699214,1.670374731,0.000254513,0.00155794
gene2411,267.6080366,2.20819064,0.585267059,1.74E-06,2.74E-05
gene7230,493.2983517,2.141333442,0.547221443,1.10E-06,1.90E-05
gene1429,41.57765484,2.139136746,0.499666804,3.52E-07,7.47E-06
gene13648,717.5876316,2.084297431,0.501332195,4.83E-07,9.67E-06
gene9931,161.883133,2.026183663,1.057137129,0.000126988,0.000898404
gene11651,202.5956633,1.994873718,0.422490614,5.65E-08,1.61E-06
gene5141,732.9035748,1.986557288,0.804010595,3.89E-05,0.00034272
gene7731,205.1701726,1.986066111,0.584383641,3.83E-06,5.25E-05
gene3287,15.23748488,1.949219993,1.357363257,0.000313719,0.001837817
gene2443,80.41237914,1.937572351,1.177078241,0.000225982,0.001419354
gene1600,79.18111097,1.932508782,1.4310318,0.000358147,0.002034949
gene6830,3293.518499,1.932163502,1.392101698,0.00034169,0.001961402
gene7561,143.5920472,1.923115579,0.593537917,5.43E-06,6.92E-05
gene7053,19.16667344,1.88932823,1.058619019,0.000179598,0.001180668
gene4520,205.7009486,1.881192035,0.643262822,1.20E-05,0.000130959
gene9420,169.2935832,1.880170676,0.876580674,8.23E-05,0.000631041
gene124,768.1286602,1.869309854,0.499338335,1.16E-06,1.99E-05
gene6034,95.33950994,1.861300667,0.626204899,1.04E-05,0.000116752
gene984,313.936654,1.818611342,0.983135109,0.000162744,0.001093907
gene3343,7.342839498,1.807957563,1.871739215,0.000533904,0.00280272
gene10246,35.28360703,1.779934947,0.534774552,3.37E-06,4.75E-05
gene10340,5806.013953,1.76873852,1.069832538,0.000254656,0.001558037
gene784,453.1795197,1.762515994,0.733422695,4.29E-05,0.000373018
gene8904,454.6617199,1.761830064,0.830910476,8.78E-05,0.000661621
gene12120,37.11782382,1.760631819,1.828665498,0.000578793,0.00300087
gene9031,56.08658279,1.73653077,0.619776479,1.44E-05,0.000151685
gene425,18.42187568,1.73249756,0.954813672,0.000183046,0.001195009
gene12339,11.12006494,1.732177258,1.532797798,0.000586516,0.003034499
gene707,4955.579387,1.728125071,0.370207674,2.81E-08,9.08E-07
gene7683,260.1251798,1.707298837,0.659301756,2.52E-05,0.000239361
gene2081,369.6798107,1.690053416,0.692909806,3.75E-05,0.000333545
gene5093,37718.44208,1.67522004,0.522801138,3.98E-06,5.40E-05
gene492,727.2657581,1.671559989,1.40682028,0.00061104,0.003134933
gene4203,178.6578509,1.664507993,1.28909246,0.000542445,0.002836393
gene4675,58.93976662,1.651330849,1.668738862,0.000704694,0.003518801
gene8151,80.6435264,1.645377921,0.77685708,8.74E-05,0.000659499
gene1829,125.2640187,1.616552573,0.757485231,8.33E-05,0.000636194
gene7231,25444.91221,1.60774227,0.492602075,2.84E-06,4.12E-05
gene9459,195.9931688,1.605045084,0.59911873,1.75E-05,0.000179238
gene1604,66.60951019,1.597345283,0.663680206,3.86E-05,0.000340922
gene3341,13.516936,1.581643746,1.973827493,0.000696756,0.003488615
gene11892,365.596744,1.568387501,0.359518935,4.53E-08,1.34E-06
gene12045,1574.970356,1.560700074,0.303328622,1.39E-09,7.91E-08
gene765,78.12824076,1.555388258,0.424942565,6.28E-07,1.20E-05
gene2746,155.2632135,1.551388625,0.365471906,6.71E-08,1.85E-06
gene7871,2571.650831,1.537647799,0.399669534,2.96E-07,6.49E-06
gene9417,23.58301909,1.532137463,1.672962611,0.00086603,0.00413048
gene12352,509.8202967,1.497004963,0.947556849,0.000360572,0.002045853
gene7735,120.372342,1.491947067,0.742658044,0.000115644,0.000837922
gene13595,8903.404145,1.491933222,0.452546172,1.89E-06,2.92E-05
gene9560,43.48320153,1.478275095,1.221836844,0.000781624,0.00381695
gene2739,3944.338971,1.469595519,1.492024614,0.000980106,0.004561062
gene10832,249.9120156,1.461638027,1.359430149,0.00094371,0.004418508
gene10490,28.40561693,1.450427088,0.673657972,7.53E-05,0.000587312
gene4525,3.746918267,1.450110273,1.691450534,0.000986913,0.004587518
gene8639,20401.35889,1.448835693,0.722005035,0.000116026,0.000840198
